1,Ana Silva,2,
2,Antônio Figueiredo 7,
3,Amélia Corrêa,1,
4,Bruno Marques,2,
5,Caio Sousa,8,
6,Carla Maia,1,
7,Daniel Cardoso,1,
8,Eduardo Brito,2,
9,Felipe Gomes,17,
10,Flávia Sousa,18,
11,Gabriel Santana,9,
12,Giovana Coelho,10,
13,Guilherme Santos,1,
14,Gustavo Riveira,8,
15,Henrique Freitas,2,
16,Isabela Duarte,17,
17,Isadora Bueno,1,
18,Isla Silva,8,
19,João Santos,2,
20,João Silva,7,
21,João Soares,9,
22,Júlia Cavalcante,1,
23,Juliana Costa,9,
24,Kevin Oliveira,2,
25,Laís Miranda,2,
26,Leonardo Ferreira,7,
27,Letícia Santana,10,
28,Letícia Sena,8,
29,Lívia Peixoto,2,
30,Lucas Mendes,1,
31,Márcia Silva,7,
32,Maria Santos,10,
33,Mateus Batista,1,
34,Mônica Sousa,1,
35,Natália Figueiredo,2,
36,Nícolas Araújo,9,
37,Paula Augusto,10,
38,Pedro Honório,18,
39,Pedro Silva,2,
40,Taís Chaves,1,
41,Alberto Vieira,,AOS 02 Bl E 106
42,Beatriz Silva,,SQN 116 Bl A 101
43,César Monteiro,,SQSW 300A Bl B 210
44,Eduarda Moura,,QLN 16 Lote 20
45,Gabriel Oliveira,,SQSW 104 Bl F 607
46,Helena Queiroz,,QLN 10 Lote 12
47,Ignácio Santos,,SQN 304 Bl C 306
48,Júlia Ferreira,,SQN 209 Bl D 501
49,Leonardo Almeida,,SQNW 103 Bl E 606
50,Renata Fontenele,,SHCES 1103 Bl D 103
